date,hour,tweet
27-04-20,8:57:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
27-04-20,9:16:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
27-04-20,9:28:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
27-04-20,9:44:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
27-04-20,8:41:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,9:58:00,"b'RT @hbarisalir19: Bir tarafta gencecik bir insan nas\xc4\xb1l vurulur diyenler, di\xc4\x9fer tarafta Suriyeli oldu\xc4\x9fu s\xc3\xb6ylenerek \xc3\xb6lmeyi hak etti\xc4\x9fi annesin\xe2\x80\xa6'"
28-04-20,8:33:00,"b'Dini, dili, \xc4\xb1rk\xc4\xb1 ve rengi ne olursa olsun.. Sadece \xc3\xa7ocuklar de\xc4\x9fil, hi\xc3\xa7bir insan \xc3\xb6lmeyi hak etmez. Peki\xe2\x80\xa6 https://t.co/CGeEBXPdsq'"
28-04-20,9:51:00,"b'Bir tarafta gencecik bir insan nas\xc4\xb1l vurulur diyenler, di\xc4\x9fer tarafta Suriyeli oldu\xc4\x9fu s\xc3\xb6ylenerek \xc3\xb6lmeyi hak etti\xc4\x9fi a\xe2\x80\xa6 https://t.co/GFv4vPoEWh'"
28-04-20,10:37:00,b'polisin bir insan\xc4\xb1 kalbinden vuracak kadar hak kazanmas\xc4\xb1 da 17 ya\xc5\x9f\xc4\xb1ndaki bir \xc3\xa7ocu\xc4\x9fun \xc3\xa7al\xc4\xb1\xc5\x9fmak zorunda olmas\xc4\xb1 da sur\xe2\x80\xa6 https://t.co/TvkRwACdsg'
28-04-20,1:08:00,b'#Aliyi\xc3\x96ld\xc3\xbcrenlerNerede\nSuriyeli diye \xc3\xb6l\xc3\xbcm\xc3\xbc hak g\xc3\xb6rd\xc3\xbcn\xc3\xbcz sizin gibi zihniyeti k\xc4\xb1n\xc4\xb1yorum Allah belan\xc4\xb1z\xc4\xb1 versin tiksiniyorum bu \xc3\xbclkeden artik'
